company_name,website,email,description,contact_page,address,sources,score
hello RSE,https://www.hellorse.fr/,,"Découvrez hello RSE, la plateforme dédiée aux achats responsables en entreprise. Comparez, choisissez et adoptez des solutions durables en toute simplicité !",https://www.hellorse.fr/mentions-legales,"11 Cr du 30 Juillet 33000, 33300 Bordeaux",['maps'],5
Creation De Site Web,https://creation-site-web-france.fr/,,Web site created using create-react-app,https://creation-site-web-france.fr/contact,"155 Rue de Bethmann, 33000 Bordeaux",['maps'],5
Log'in Line,,,,,Voir le plan,['pj'],1
Hello Pomelo,,,,,Voir le plan,['pj'],1
Agerix,,,,,Voir le plan,['pj'],1
KASUAL BUSINESS AU,,,,,Voir le plan,['pj'],1
Target Web,,,,,Voir le plan,['pj'],1
ATELIER 51,,,,,Voir le plan,['pj'],1
Preditic,,,,,Voir le plan,['pj'],1
Proticia,,,,,Voir le plan,['pj'],1
Enovation Solutions,,,,,Voir le plan,['pj'],1
Kapsloc,,,,,Voir le plan,['pj'],1
DIGIWIDE,,,,,Voir le plan,['pj'],1
Yannick Inrep,,,,,Voir le plan,['pj'],1
Data4declic,,,,,Voir le plan,['pj'],1
Ikadran,,,,,Voir le plan,['pj'],1
Avalone,,,,,Voir le plan,['pj'],1
Mon Assistant Numérique Bordeaux Sud,,,,,Voir le plan,['pj'],1
Esave Repair,,,,,Voir le plan,['pj'],1
Michel Pilon et Fils,,,,,Voir le plan,['pj'],1
Encod,,,,,Voir le plan,['pj'],1
